大陆频道,#genre# 
NewTV怡伴健康,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225919/1.m3u8
NewTV家庭剧场,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225918/1.m3u8
NewTV动作电影,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226288/1.m3u8
省台频道,#genre# 
浙江 Ⅰ 浙江钱江HD,http://hw-m-l.cztv.com/channels/lantian/channel02/1080p.m3u8?k=ace136d16e3700972b06cca5316b34d8&t=1577153432
浙江 Ⅰ 浙江经视HD,http://yd-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8?k=3bc164885721feecc386b066a39b8567&t=1577153471
浙江 Ⅰ 浙江6套HD,http://hw-m-l.cztv.com/channels/lantian/channel06/1080p.m3u8?k=7902d458851930a3cab9763349e1425c&t=1577153702
浙江 Ⅰ 浙江新闻频道HD,http://hw-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8?k=4812130c6c3788cf5c6a6ba64a47678c&t=1577153743
浙江 Ⅰ 浙江少儿频道HD,http://hw-m-l.cztv.com/channels/lantian/channel08/1080p.m3u8?k=1a7559a51eeb880b021619a07f463ac4&t=1577153787
浙江 Ⅰ 浙江留学频道HD,http://hw-m-l.cztv.com/channels/lantian/channel09/1080p.m3u8?k=e50bfc43311fc5aecad39f294634bb01&t=1577153817
浙江 Ⅰ 浙江国际HD,http://hw-m-l.cztv.com/channels/lantian/channel10/1080p.m3u8?k=48877e6c28c2a0215eb8712eb48b888d&t=1577153884
浙江 Ⅰ 杭州HTV-1HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229307/index.m3u8
浙江 Ⅰ 杭州HTV-2HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229310/index.m3u8
浙江 Ⅰ 杭州HTV-3HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229313/index.m3u8
浙江 Ⅰ 杭州HTV-4HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229377/index.m3u8
浙江 Ⅰ 杭州HTV-5HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229316/index.m3u8
湖北 Ⅰ 湖北综合,http://live.cjyun.org/hubeitv/s10008-live-hbzh.m3u8
湖北 Ⅰ 湖北经视,http://live.cjyun.org/hubeitv/s10008-live-hbjs.m3u8
湖北 Ⅰ 湖北卫视,http://live.cjyun.org/hubeitv/s10008-live-hbws.m3u8
湖北 Ⅰ 湖北教育,http://live.cjyun.org/hubeitv/s10008-live-hbjy.m3u8
湖北 Ⅰ 湖北生活,http://live.cjyun.org/hubeitv/s10008-live-hbsh.m3u8
湖北 Ⅰ 湖北影视,http://live.cjyun.org/hubeitv/s10008-live-hbys.m3u8
湖北 Ⅰ 休闲指南,http://live.cjyun.org/hubeitv/s10008-live-xxzn.m3u8
湖北 Ⅰ 垄上频道,http://live.cjyun.org/hubeitv/s10008-live-hbls.m3u8
湖北 Ⅰ 公共新闻,http://live.cjyun.org/hubeitv/s10008-live-hbgg.m3u8
湖北 Ⅰ 黄冈新闻频道,http://huanggang.live.cjyun.org/video/s10120-xwzh.m3u8
湖北 Ⅰ 黄冈公共频道,http://huanggang.live.cjyun.org/video/s10120-xwgg.m3u8
湖北 Ⅰ 夷陵电视台,http://yiling.live.cjyun.org/video/s10174-TC1T/index.m3u8
湖北 Ⅰ 襄阳综合,http://xiangyang.live.cjyun.org/video/s10125-news_hd/index.m3u8
湖北 Ⅰ 襄阳公共,http://xiangyang.live.cjyun.org/video/s10125-education_hd/index.m3u8
湖北 Ⅰ 恩施综合,http://enshi.live.cjyun.org/video/s10070-eszh.m3u8
湖北 Ⅰ 恩施公共,http://enshi.live.cjyun.org/video/s10070-esgg.m3u8
湖北 Ⅰ 孝感新闻综合,http://xiaogan.live.cjyun.org/video/s10139-xg/index.m3u8
湖北 Ⅰ 孝感公共频道,http://xiaogan.live.cjyun.org/video/s10139-shpd/index.m3u8
湖北 Ⅰ 鄂州新闻综合,http://ezhou.live.cjyun.org/video/s10098-EZ2T/index.m3u8
湖北 Ⅰ 鄂州公共频道,http://ezhou.live.cjyun.org/video/s10098-EZ1T/index.m3u8
湖北 Ⅰ 咸宁综合频道,http://xianning.live.cjyun.org/video/s10140-XNTV-1/index.m3u8
湖北 Ⅰ 利川新闻综合,http://lichuan.live.tempsource.cjyun.org/videotmp/s10093-lczh.m3u8
湖北 Ⅰ 利川公共频道,http://lichuan.live.tempsource.cjyun.org/videotmp/s10093-lcgg.m3u8
湖北 Ⅰ 孝昌新闻党建,http://xiaochang.live.cjyun.org/video/s10128-xcxw/index.m3u8
湖北 Ⅰ 孝昌生活频道,http://xiaochang.live.cjyun.org/video/s10128-xcsh/index.m3u8
湖北 Ⅰ 罗田综合,http://luotian.live.cjyun.org/video/s10013-LTZH/index.m3u8
湖北 Ⅰ 红安综合,http://hongan.live.cjyun.org/video/s10063-HAZH.m3u8
湖北 Ⅰ 大悟综合,http://yunshangdawu.live.tempsource.cjyun.org/videotmp/s10129-dwzhpd.m3u8
湖北 Ⅰ 应城新闻综合,http://yingcheng.live.cjyun.org/video/s10135-YCZH/index.m3u8
湖北 Ⅰ 应城生活频道,http://yingcheng.live.cjyun.org/video/s10135-YCDJ/index.m3u8
湖北 Ⅰ 秭归新闻综合,http://zigui.live.cjyun.org/video/s10111-ZGTV1.m3u8
湖北 Ⅰ 大冶一套,http://dayeyun.live.tempsource.cjyun.org/videotmp/s10102-TC1T.m3u8
湖北 Ⅰ 大冶二套,http://dayeyun.live.tempsource.cjyun.org/videotmp/s10102-TC2T.m3u8
湖北 Ⅰ 嘉鱼新闻综合,http://jiayu.live.tempsource.cjyun.org/videotmp/s10131-jyzh.m3u8
湖北 Ⅰ 鹤峰综合频道,http://hefeng.live.tempsource.cjyun.org/videotmp/s10100-hftv.m3u8
湖北 Ⅰ 广水新闻频道,http://guangshui.live.tempsource.cjyun.org/videotmp/s10146-GSXW.m3u8
湖北 Ⅰ 云梦综合频道,http://yunshangyunmeng.live.cjyun.org/video/s10130-ymzh.m3u8
湖北 Ⅰ 云梦党建农业,http://yunshangyunmeng.live.cjyun.org/video/s10130-ymdjny.m3u8
湖北 Ⅰ 咸宁综合,http://xianning.live.cjyun.org/video/s10140-XNGG.flv
湖北 Ⅰ 咸宁公共频道,http://xianning.live.cjyun.org/video/s10140-XNTV-1.flv
湖北 Ⅰ 神农架电视台,http://shennongjia.live.cjyun.org/video/s10144-SNJ-live.flv
湖南 Ⅰ 娄底综合台,http://mms.ldntv.cn:1935/live/zonghe/playlist.m3u8
湖南 Ⅰ 长沙影视台,http://35848.hlsplay.aodianyun.com/guangdianyun_35848/tv_channel_350.m3u8
湖南 Ⅰ 湘西综合台,http://36514.hlsplay.aodianyun.com/tv_radio_36514/tv_channel_1382.m3u8
湖南 Ⅰ 湘西公共台,http://36514.hlsplay.aodianyun.com/tv_radio_36514/tv_channel_1381.m3u8
湖南 Ⅰ 湘潭综合台,http://live.hnxttv.com:9601/live/xwzh/800K/tzwj_video.m3u8
湖南 Ⅰ 张家界综合,http://stream.zjjrtv.com/zjjtv1/hd/live.m3u8
湖南 Ⅰ 张家界公共,http://stream.zjjrtv.com/zjjtv2/hd/live.m3u8
江苏 Ⅰ 无锡综合台,http://live-wx.wifiwx.com/wxtv1/sd/live.m3u8
江苏 Ⅰ 无锡都市台,http://live-wx.wifiwx.com/wxtv3/sd/live.m3u8
